epoch,w0,w1,w2,w3,wg0,wg1,wg2,wg3,loss,loss_kl,loss_mse
1.2400e+02,-3.3719e-01,1.8189e-01,2.5588e+00,-3.5670e-01,5.5540e+00,3.9583e-01,5.1011e-01,-7.1966e-01,7.4484e+00,4.1532e+00,3.2952e+00
1.2500e+02,-3.5311e-01,1.7580e-01,2.5624e+00,-3.5586e-01,7.9632e+00,3.0463e+00,-1.7860e+00,-4.1960e-01,1.0768e+01,4.1537e+00,6.6139e+00
1.2600e+02,-3.6932e-01,1.6909e-01,2.5382e+00,-3.6693e-01,8.1019e+00,3.3532e+00,1.2102e+01,5.5368e+00,1.3253e+01,4.1694e+00,9.0840e+00
1.2700e+02,-3.8715e-01,1.5968e-01,2.5293e+00,-3.6690e-01,8.9169e+00,4.7081e+00,4.4409e+00,-1.4384e-02,1.1704e+01,4.1216e+00,7.5820e+00
1.2800e+02,-3.9924e-01,1.5741e-01,2.5263e+00,-3.6547e-01,6.0473e+00,1.1335e+00,1.5102e+00,-7.1768e-01,7.8736e+00,4.1084e+00,3.7653e+00
1.2900e+02,-4.0451e-01,1.5898e-01,2.5361e+00,-3.6666e-01,2.6337e+00,-7.8399e-01,-4.9019e+00,5.9959e-01,6.8788e+00,4.1053e+00,2.7735e+00
1.3000e+02,-4.1914e-01,1.5366e-01,2.5479e+00,-3.6914e-01,7.3157e+00,2.6592e+00,-5.9020e+00,1.2356e+00,1.1607e+01,4.1325e+00,7.4745e+00
1.3100e+02,-4.1561e-01,1.5244e-01,2.5694e+00,-3.8026e-01,-1.7662e+00,6.1077e-01,-1.0776e+01,5.5631e+00,1.0153e+01,4.1714e+00,5.9813e+00
1.3200e+02,-4.2614e-01,1.5127e-01,2.5674e+00,-3.7883e-01,5.2669e+00,5.8267e-01,1.0042e+00,-7.1694e-01,7.2818e+00,4.2317e+00,3.0501e+00
1.3300e+02,-4.5657e-01,1.1069e-01,2.5447e+00,-3.8824e-01,1.5212e+01,2.0292e+01,1.1347e+01,4.7053e+00,2.7300e+01,4.2305e+00,2.3070e+01
1.3400e+02,-4.4832e-01,1.0460e-01,2.5432e+00,-3.8673e-01,-4.1239e+00,3.0440e+00,7.7063e-01,-7.5667e-01,5.7050e+00,4.2032e+00,1.5018e+00
1.3500e+02,-4.6019e-01,1.0191e-01,2.5458e+00,-3.8556e-01,5.9362e+00,1.3433e+00,-1.3309e+00,-5.8316e-01,8.3451e+00,4.1966e+00,4.1486e+00
1.3600e+02,-4.6259e-01,1.0349e-01,2.5314e+00,-3.8832e-01,1.2007e+00,-7.9034e-01,7.2189e+00,1.3828e+00,5.4039e+00,4.2089e+00,1.1950e+00
1.3700e+02,-4.6729e-01,1.0496e-01,2.5427e+00,-3.9044e-01,2.3489e+00,-7.3488e-01,-5.6714e+00,1.0590e+00,7.2185e+00,4.1745e+00,3.0440e+00
1.3800e+02,-4.8362e-01,9.6333e-02,2.5601e+00,-3.9732e-01,8.1624e+00,4.3154e+00,-8.7068e+00,3.4370e+00,1.4650e+01,4.2062e+00,1.0443e+01
